model,dataset,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,NDCG@1000,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,MAP@1000,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,Recall@1000,P@1,P@3,P@5,P@10,P@100,P@1000
all-MiniLM-L12-v2,scifact,0.5,0.56602,0.59271,0.62639,0.65549,0.66497,0.47483,0.53909,0.55573,0.57186,0.57863,0.57901,0.47483,0.61956,0.68439,0.78233,0.91167,0.98333,0.5,0.22222,0.15,0.08833,0.01037,0.00111
all-MiniLM-L6-v2,scifact,0.50333,0.59673,0.62928,0.64508,0.67665,0.68552,0.48233,0.56564,0.58826,0.59593,0.60307,0.60343,0.48233,0.66033,0.73794,0.78333,0.925,0.99333,0.50333,0.23778,0.164,0.08833,0.01053,0.00112
all-mpnet-base-v2,scifact,0.53333,0.60009,0.62803,0.6557,0.68911,0.69653,0.51456,0.57518,0.59435,0.60827,0.61595,0.6163,0.51456,0.64506,0.71211,0.79011,0.94167,0.99667,0.53333,0.23333,0.158,0.08933,0.0107,0.00113
multi-qa-mpnet-base-dot-v1,scifact,0.46667,0.54563,0.56835,0.58907,0.62253,0.63794,0.43928,0.51661,0.53166,0.54151,0.54938,0.55,0.43928,0.602,0.659,0.71756,0.86833,0.98667,0.46667,0.22111,0.14733,0.082,0.00993,0.00112
all-distilroberta-v1,scifact,0.48333,0.57268,0.60311,0.63146,0.65978,0.66977,0.459,0.54289,0.56185,0.5758,0.58185,0.58226,0.459,0.63428,0.70794,0.78789,0.92,0.99667,0.48333,0.22889,0.15667,0.089,0.01047,0.00113
multi-qa-distilbert-cos-v1,scifact,0.47,0.55481,0.56946,0.5957,0.63221,0.64253,0.44611,0.52574,0.53723,0.54929,0.55748,0.55783,0.44611,0.61006,0.64483,0.72161,0.88533,0.96933,0.47,0.22111,0.14467,0.08167,0.01007,0.0011
multi-qa-MiniLM-L6-cos-v1,scifact,0.43667,0.50444,0.52354,0.54029,0.58909,0.60131,0.41028,0.47785,0.49084,0.49919,0.5091,0.50955,0.41028,0.55394,0.60183,0.65011,0.88033,0.97667,0.43667,0.20444,0.13533,0.07433,0.01,0.00111
paraphrase-albert-small-v2,scifact,0.36333,0.41931,0.44667,0.47169,0.52273,0.53894,0.34594,0.39759,0.41426,0.42618,0.43663,0.43717,0.34594,0.45744,0.52517,0.59739,0.83822,0.96833,0.36333,0.16556,0.11733,0.068,0.00957,0.0011
paraphrase-MiniLM-L3-v2,scifact,0.32,0.40503,0.44219,0.46458,0.5159,0.53215,0.30583,0.37731,0.40004,0.41004,0.42122,0.42181,0.30583,0.46244,0.55089,0.61611,0.85222,0.98,0.32,0.16556,0.12067,0.069,0.0097,0.00111
all-mpnet-base-v2,trec-covid,0.6,0.54989,0.53036,0.51326,0.41739,0.43221,0.00195,0.00465,0.00678,0.01219,0.07061,0.19735,0.00195,0.00499,0.00765,0.01473,0.10596,0.42466,0.66,0.59333,0.576,0.556,0.4334,0.19994
multi-qa-mpnet-base-dot-v1,trec-covid,0.62,0.64654,0.61348,0.61856,0.47568,0.42596,0.00173,0.00516,0.00772,0.01415,0.07601,0.18475,0.00173,0.00572,0.00877,0.01717,0.11257,0.4035,0.7,0.72,0.652,0.662,0.491,0.19248
all-distilroberta-v1,trec-covid,0.6,0.54989,0.54381,0.52893,0.41828,0.42165,0.00186,0.0045,0.00698,0.01273,0.06912,0.1888,0.00186,0.00475,0.00779,0.01523,0.10308,0.41148,0.66,0.58667,0.58,0.57,0.437,0.19472
all-MiniLM-L12-v2,trec-covid,0.59,0.54112,0.51192,0.50816,0.37662,0.35907,0.00176,0.00448,0.00658,0.01164,0.06047,0.14912,0.00176,0.00474,0.00736,0.01435,0.09122,0.34378,0.64,0.58,0.548,0.554,0.3848,0.16012
multi-qa-distilbert-cos-v1,trec-covid,0.57,0.58542,0.58582,0.56321,0.43974,0.40374,0.00167,0.00492,0.00778,0.01293,0.07275,0.17885,0.00167,0.00533,0.00882,0.01561,0.10592,0.3822,0.6,0.64667,0.636,0.606,0.4524,0.18292
all-MiniLM-L6-v2,trec-covid,0.56,0.51939,0.50569,0.47254,0.35174,0.34032,0.00169,0.00408,0.00627,0.01054,0.05309,0.13313,0.00169,0.0044,0.00709,0.01284,0.08552,0.3281,0.62,0.56,0.552,0.504,0.3614,0.1545
multi-qa-MiniLM-L6-cos-v1,trec-covid,0.57,0.57307,0.57264,0.55827,0.43134,0.39399,0.00183,0.00481,0.00737,0.01319,0.07009,0.16956,0.00183,0.00516,0.00845,0.01583,0.10412,0.37359,0.66,0.62,0.62,0.6,0.446,0.178
paraphrase-albert-small-v2,trec-covid,0.24,0.20693,0.19246,0.1764,0.09204,0.09221,0.00057,0.00135,0.00201,0.00323,0.00859,0.01579,0.00057,0.00159,0.00253,0.0045,0.02042,0.09117,0.26,0.22,0.204,0.182,0.0846,0.04128
paraphrase-MiniLM-L3-v2,trec-covid,0.21,0.21112,0.21695,0.18721,0.10775,0.08034,0.00053,0.00148,0.00238,0.00351,0.01139,0.01674,0.00053,0.00178,0.00305,0.00489,0.02338,0.07086,0.22,0.23333,0.24,0.194,0.1012,0.0327
all-mpnet-base-v2,quora,0.8005,0.84428,0.86118,0.87456,0.88768,0.88859,0.69327,0.80451,0.82388,0.83548,0.84232,0.84246,0.69327,0.86389,0.91115,0.95032,0.99559,0.99987,0.8005,0.37103,0.24516,0.13418,0.01536,0.00157
multi-qa-mpnet-base-dot-v1,quora,0.7987,0.84361,0.86095,0.8744,0.8874,0.8883,0.69293,0.80386,0.82389,0.83525,0.8419,0.84205,0.69293,0.86372,0.91135,0.95108,0.99587,0.9999,0.7987,0.3702,0.2452,0.13401,0.01536,0.00157
all-distilroberta-v1,quora,0.7883,0.83603,0.85419,0.8678,0.88141,0.8823,0.68251,0.79496,0.81535,0.82677,0.83377,0.8339,0.68251,0.85909,0.90845,0.94868,0.9957,0.9999,0.7883,0.3684,0.24446,0.13383,0.01537,0.00157
all-MiniLM-L12-v2,quora,0.8045,0.84732,0.86368,0.87751,0.88971,0.89071,0.69659,0.80758,0.82656,0.83834,0.84478,0.84493,0.69659,0.8669,0.91344,0.95329,0.9952,0.99991,0.8045,0.37187,0.24498,0.13452,0.01532,0.00157
multi-qa-distilbert-cos-v1,quora,0.8074,0.84997,0.86661,0.87961,0.89204,0.89298,0.70022,0.81048,0.82985,0.84114,0.84772,0.84787,0.70022,0.86826,0.91488,0.95307,0.9956,0.99984,0.8074,0.3722,0.24568,0.13425,0.01534,0.00157
all-MiniLM-L6-v2,quora,0.8036,0.84448,0.86177,0.8754,0.8883,0.88943,0.69713,0.80517,0.82473,0.83621,0.84291,0.84308,0.69713,0.86215,0.9104,0.95029,0.9944,0.99979,0.8036,0.3695,0.24402,0.13374,0.01529,0.00157
multi-qa-MiniLM-L6-cos-v1,quora,0.8017,0.84188,0.85761,0.87196,0.88537,0.88671,0.69575,0.80243,0.82101,0.83276,0.83943,0.83961,0.69575,0.85994,0.90461,0.94651,0.99297,0.99951,0.8017,0.36767,0.24206,0.1329,0.01523,0.00156
paraphrase-albert-small-v2,quora,0.6547,0.71971,0.74571,0.76841,0.79459,0.79657,0.56614,0.67451,0.69702,0.71187,0.72184,0.72207,0.56614,0.75697,0.82456,0.89035,0.98867,0.9994,0.6547,0.32073,0.21826,0.12373,0.01514,0.00156
paraphrase-MiniLM-L3-v2,quora,0.624,0.69119,0.71821,0.74399,0.77225,0.77507,0.53846,0.64515,0.66781,0.68348,0.6936,0.69391,0.53846,0.73114,0.80143,0.87637,0.98348,0.99913,0.624,0.3084,0.21028,0.12062,0.01497,0.00156
all-mpnet-base-v2,hotpotqa,0.44524,0.35013,0.37177,0.39294,0.43296,0.45561,0.22262,0.28874,0.30246,0.31266,0.32202,0.32299,0.22262,0.33005,0.37286,0.426,0.5846,0.73565,0.44524,0.22003,0.14914,0.0852,0.01169,0.00147
multi-qa-mpnet-base-dot-v1,hotpotqa,0.59082,0.45727,0.47849,0.49772,0.53542,0.55332,0.29541,0.384,0.39865,0.40879,0.4183,0.41914,0.29541,0.42708,0.46887,0.51695,0.66516,0.7842,0.59082,0.28472,0.18755,0.10339,0.0133,0.00157
all-distilroberta-v1,hotpotqa,0.53612,0.41091,0.43133,0.45115,0.48661,0.50638,0.26806,0.34185,0.3555,0.36541,0.37413,0.37499,0.26806,0.38204,0.42235,0.47232,0.61242,0.74436,0.53612,0.25469,0.16894,0.09446,0.01225,0.00149
all-MiniLM-L12-v2,hotpotqa,0.5187,0.40304,0.42543,0.44589,0.48113,0.49962,0.25935,0.33479,0.3493,0.3596,0.36811,0.36894,0.25935,0.37698,0.42127,0.47272,0.61229,0.73552,0.5187,0.25132,0.16851,0.09454,0.01225,0.00147
multi-qa-distilbert-cos-v1,hotpotqa,0.58136,0.44518,0.46666,0.48687,0.52184,0.54026,0.29068,0.37166,0.38638,0.39689,0.40551,0.40636,0.29068,0.41364,0.45618,0.50716,0.64612,0.76867,0.58136,0.27576,0.18247,0.10143,0.01292,0.00154
all-MiniLM-L6-v2,hotpotqa,0.55436,0.42334,0.4445,0.46513,0.5021,0.52049,0.27718,0.35197,0.36593,0.3763,0.38534,0.38619,0.27718,0.39291,0.43491,0.48704,0.63363,0.75564,0.55436,0.26194,0.17396,0.09741,0.01267,0.00151
multi-qa-MiniLM-L6-cos-v1,hotpotqa,0.54774,0.41808,0.43816,0.45657,0.48954,0.5078,0.27387,0.34691,0.36017,0.36931,0.37734,0.37818,0.27387,0.38785,0.42755,0.47394,0.60398,0.72546,0.54774,0.25856,0.17102,0.09479,0.01208,0.00145
